101001,4,-849,0,117,0,180,0,0\0,3/0/0/0/0,
201001,4,-84,0,229,0,180,0,0\0,3/0/0/0/0,
201002,4,-108,0,23,0,180,0,0\0,3/0/0/0/0,
201003,4,-5,0,105,0,180,0,0\0,3/0/0/0/0,
201004,4,158,0,258,0,180,0,0\0,3/0/0/0/0,
201005,4,216,0,379,0,180,0,0\0,3/0/0/0/0,
301001,4,-606,0,455,0,180,0,0\0,3/0/0/0/0,
301002,4,-554,0,547,0,180,0,0\0,3/0/0/0/0,
301003,4,-448,0,623,0,180,0,0\0,3/0/0/0/0,
301004,4,-435,0,755,0,180,0,0\0,3/0/0/0/0,
301005,4,-636,0,932,0,180,0,0\0,3/0/0/0/0,
301006,4,-182,0,695,0,180,0,0\0,3/0/0/0/0,
301009,4,625,0,891,0,180,0,0\0,3/0/0/0/0,
301010,4,788,0,1101,0,180,0,0\0,3/0/0/0/0,
301011,4,874,0,816,0,180,0,0\0,3/0/0/0/0,

